"","name","address","phone","website","type","degrees","campus_setting","campus_housing","student_population","student_teacher_ratio","tot_enrol","undergrad_enrol","latitude","longitude"
"11","Bryant & Stratton College-Hampton","4410 East Claiborne Square Suite 233 Hampton Virginia 23666","(757) 896-6001","www.bryantstratton.edu/","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degree","City: Midsize","No","Bryant & Stratton College-Virginia Beach (Parent):Bryant & Stratton College-HamptonBryant & Stratton College-Richmond","",NA,NA,37.0438244,-76.3929135
"12","Bryant & Stratton College-Richmond","8141 Hull St Rd North Chesterfield Virginia 23235","(804) 745-2444","www.bryantstratton.edu/","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degree","Suburb: Large","No","Bryant & Stratton College-Virginia Beach (Parent):Bryant & Stratton College-HamptonBryant & Stratton College-Richmond","",NA,NA,37.4601762,-77.5423269
"13","Bryant & Stratton College-Virginia Beach","301 Centre Pointe Dr Virginia Beach Virginia 23462","(757) 499-7900","www.bryantstratton.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degree","City: Large","No","1,515 (all undergraduate)","18 to 1",515,"all",36.8278959,-76.1381446
"14","Centra College","905 Lakeside Dr. Suite A Lynchburg Virginia 24501","(434) 200-3070","www.centrahealth.com/ccon","4-year, primarily associate's, Private not-for-profit","One but less than two years certificateAssociate's degreeBachelor's degree","City: Small","No","314 (all undergraduate)","11 to 1",314,"all",37.404822,-79.1740764
"15","Centura College-Chesapeake","932 B Ventures Way Chesapeake Virginia 23320","(757) 549-2121","www.centuracollege.edu/campuses/chesapeake/","4-year, primarily associate's, Private for-profit","Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree","Suburb: Large","No","164 (all undergraduate)","14 to 1",164,"all",36.7660867,-76.2277695
"16","Centura College-Virginia Beach","2697 Dean Dr. Ste. 100 Virginia Beach Virginia 23452-7431","(757) 340-2121 x310","www.centuracollege.edu/campuses/virginia-beach/","4-year, primarily associate's, Private for-profit","Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree","City: Large","No","99 (all undergraduate)","8 to 1",99,"all",36.8375601,-76.064528
"17","Chamberlain University-Virginia","1951 Kidwell Drive Vienna Virginia 22182","(703) 416-7300","www.chamberlain.edu/","4-year, Private for-profit","Bachelor's degree","Suburb: Large","No","622 (all undergraduate)","13 to 1",622,"all",38.9104236,-77.2204864
"18","Christopher Newport University","1 Avenue of the Arts Newport News Virginia 23606-3072","(757) 594-7000","cnu.edu/","4-year, Public","Bachelor's degreeMaster's degree","City: Midsize","Yes","4,868 (4,758 undergraduate)","14 to 1",868,"4",37.0608093,-76.4899457
"19","DeVry University-Virginia","1400 Crystal Dr Ste 120 Arlington Virginia 22202","(703) 414-4000","www.devry.edu/","4-year, Private for-profit","Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree","City: Midsize","No","188 (118 undergraduate)","9 to 1",188,"118",38.8610296,-77.0498801
"20","Divine Mercy University","45154 Underwood Lane Sterling Virginia 20166","(703) 416-1441","www.divinemercy.edu/","4-year, Private not-for-profit","Master's degreeDoctor's degree - professional practice","Suburb: Large","No","392 (0 undergraduate)","",392,"0",38.9796994,-77.4374616
"21","Eastern Mennonite University","1200 Park Rd Harrisonburg Virginia 22802-2462","(540) 432-4000","emu.edu/","4-year, Private not-for-profit","One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice","City: Small","Yes","1,394 (896 undergraduate)","10 to 1",394,"896",38.4748022,-78.8767117
"22","Eastern Virginia Medical School","700w. Olney Norfolk Virginia 23507","(757) 446-8422","www.evms.edu/","4-year, Public","Postbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice","City: Midsize","Yes","1,289 (0 undergraduate)","",289,"0",36.8613303,-76.3007998
"23","ECPI University","5555 Greenwich Rd Virginia Beach Virginia 23462","(757) 490-9090","www.ecpi.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree","City: Large","No","14,353 (13,983 undergraduate)","16 to 1",353,"13",36.8425384,-76.178872
"24","ECPI University - Culinary Institute of Virginia - Newport News","11850 Merchants Walk Newport News Virginia 23606-3320","(844) 611-0530","www.ecpi.edu/","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degree","City: Midsize","No","ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences","",NA,NA,37.086799,-76.4749656
"25","ECPI University - Roanoke","5234 Airport Rd NW Roanoke Virginia 24012-1603","(540) 563-8000","www.ecpi.edu/","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degree","City: Small","No","ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences","",NA,NA,37.3198883,-79.9594012
"26","ECPI University-Culinary Institute of Virginia","2428 Alameda Ave Ste 106 Norfolk Virginia 23513-1603","(757) 858-2433","www.ecpi.edu/college-of-culinary-arts","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degree","City: Midsize","No","ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences","",NA,NA,36.879167,-76.213917
"27","ECPI University-Innsbrook","4305 Cox Rd Ste 100 Glen Allen Virginia 23060-1603","(804) 934-0100","www.ecpi.edu/","4-year, Private for-profit","Associate's degreeBachelor's degreeMaster's degree","Suburb: Large","No","ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences","",NA,NA,37.6544715,-77.5776046
"28","ECPI University-Manassas","10021 Balls Ford Rd Ste 100 Manassas Virginia 20109-1603","(703) 330-5300","www.ecpi.edu/","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree","Suburb: Large","No","ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences","",NA,NA,38.8067477,-77.4956357
"29","ECPI University-Newport News","1001 Omni Blvd Ste 100 Newport News Virginia 23606","(757) 849-0548","www.ecpi.edu/","4-year, Private for-profit","Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree","City: Midsize","No","ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences","",NA,NA,37.0907845,-76.4620452
"30","ECPI University-Richmond South","800 Moorefield Park Dr Ste 100 Richmond Virginia 23236-1603","(804) 330-5533","www.ecpi.edu/","4-year, Private for-profit","Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree","Suburb: Large","No","ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences","",NA,NA,37.5007592,-77.5813783
"31","ECPI University-Richmond West","2809 Emerywood Pkwy Ste 300 Richmond Virginia 23294-1603","(804) 521-5999","www.ecpi.edu/","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degree","Suburb: Large","No","ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences","",NA,NA,37.6088524,-77.526639
"32","ECPI University-Virginia Beach Health Sciences","5501 Greenwich Rd Ste 100 Virginia Beach Virginia 23462-1603","(757) 497-8400","www.ecpi.edu/","4-year, Private for-profit","Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree","City: Large","No","ECPI University (Parent):ECPI University - College of Nursing - OrlandoECPI University - Culinary Institute of Virginia - Newport NewsECPI University - RoanokeECPI University - San AntonioECPI University-CharlestonECPI University-CharlotteECPI University-ColumbiaECPI University-ConcordECPI University-Culinary Institute of VirginiaECPI University-GreensboroECPI University-GreenvilleECPI University-InnsbrookECPI University-ManassasECPI University-Newport NewsECPI University-RaleighECPI University-Richmond SouthECPI University-Richmond WestECPI University-Virginia Beach Health Sciences","",NA,NA,36.841856,-76.176515
"33","Edward Via College of Osteopathic Medicine","2265 Kraft Dr Blacksburg Virginia 24060","(540) 231-4000","www.vcom.edu/","4-year, Private not-for-profit","Doctor's degree - professional practice","City: Small","No","2,123 (0 undergraduate)","",123,"0",37.1996852,-80.4060554
"34","Emory & Henry College","30461 Garnand Drive Emory Virginia 24327-0947","(276) 944-4121","www.ehc.edu/","4-year, Private not-for-profit","Bachelor's degreeMaster's degreeDoctor's degree - professional practice","Rural: Fringe","Yes","1,230 (956 undergraduate)","10 to 1",230,"956",36.7732137,-81.8308469
"35","Fairfax University of America","4401 Village Drive Fairfax Virginia 22030-0000","(703) 591-7042","www.fxua.edu/","4-year, Private not-for-profit","One but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degree","Suburb: Large","No","65 (17 undergraduate)","4 to 1",65,"17",38.8491012,-77.3477866
"36","Ferrum College","215 Ferrum Mountain Road Ferrum Virginia 24088-9000","(540) 365-2121","www.ferrum.edu/","4-year, Private not-for-profit","Bachelor's degreeMaster's degree","Rural: Distant","Yes","972 (962 undergraduate)","13 to 1",972,"962",36.9264771,-80.0206987
"37","George Mason University","4400 University Dr Fairfax Virginia 22030-4444","(703) 993-1000","www2.gmu.edu/","4-year, Public","Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice","Suburb: Large","Yes","38,541 (27,104 undergraduate)","17 to 1",541,"27",38.8349761,-77.307995
"38","Hampden-Sydney College","College Road Hampden-Sydney Virginia 23943-0128","(434) 223-6000","www.hsc.edu/","4-year, Private not-for-profit","Bachelor's degree","Rural: Distant","Yes","881 (all undergraduate)","9 to 1",881,"all",37.2390019,-78.4592625
"39","Hampton University","200 William R. Harvey Way Hampton Virginia 23668-0099","(757) 727-5000","www.hamptonu.edu/","4-year, Private not-for-profit","Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificateBachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice","City: Midsize","Yes","3,516 (3,063 undergraduate)","15 to 1",516,"3",37.0204446,-76.336578
"40","Hollins University","7916 Williamson Rd NW Roanoke Virginia 24020","(540) 362-6000","www.hollins.edu/","4-year, Private not-for-profit","Bachelor's degreeMaster's degreePost-master's certificate","Suburb: Midsize","Yes","795 (687 undergraduate)","9 to 1",795,"687",37.3566761,-79.9428447
"41","IGlobal University","8133 Leesburg Pike #230 Vienna Virginia 22182-2734","(703) 941-2020","www.igu.edu/","4-year, Private for-profit","Less than one year certificateBachelor's degreeMaster's degree","Suburb: Large","No","254 (46 undergraduate)","8 to 1",254,"46",38.915249,-77.2273043
"42","James Madison University","800 South Main Street Harrisonburg Virginia 22807","(540) 568-6211","www.jmu.edu/","4-year, Public","Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice","City: Small","Yes","21,594 (19,727 undergraduate)","17 to 1",594,"19",38.4400229,-78.8716115
"43","Liberty University","1971 University Blvd Lynchburg Virginia 24515","(434) 582-2000","www.liberty.edu/","4-year, Private not-for-profit","Less than one year certificateAssociate's degreeTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice","City: Small","Yes","93,349 (47,988 undergraduate)","17 to 1",349,"47",37.3530503,-79.1770145
"44","Longwood University","201 High St Farmville Virginia 23909","(434) 395-2000","www.longwood.edu/","4-year, Public","Bachelor's degreeMaster's degreePost-master's certificate","Town: Remote","Yes","4,841 (3,940 undergraduate)","15 to 1",841,"3",37.3011542,-78.3944433
"45","Lotus School of Integrated Professions","10960 Three Chopt Road Suite A-D Henrico Virginia 23233","(804) 290-0980","lotusva.com/","4-year, Private for-profit","Less than one year certificateMaster's degree","Suburb: Large","No","76 (all undergraduate)","6 to 1",76,"all",37.6388387,-77.5858052
"46","Mary Baldwin University","318 Prospect Street Staunton Virginia 24401","(540) 887-7019","www.marybaldwin.edu/","4-year, Private not-for-profit","Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice","City: Small","Yes","2,110 (1,477 undergraduate)","11 to 1",110,"1",38.1538783,-79.0692549
"47","Marymount University","2807 N Glebe Rd Arlington Virginia 22207-4299","(703) 522-5600","www.marymount.edu/","4-year, Private not-for-profit","Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice","City: Midsize","Yes","3,294 (2,041 undergraduate)","14 to 1",294,"2",38.9056645,-77.1272135
"48","Norfolk State University","700 Park Avenue Norfolk Virginia 23504-8000","(757) 823-8600","www.nsu.edu/","4-year, Public","Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship","City: Midsize","Yes","5,457 (4,992 undergraduate)","16 to 1",457,"4",36.8462828,-76.2599281
"49","Old Dominion University","5115 Hampton Blvd Norfolk Virginia 23529","(757) 683-3000","www.odu.edu/","4-year, Public","Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice","City: Midsize","Yes","24,286 (19,622 undergraduate)","18 to 1",286,"19",36.8839664,-76.3039779
"50","Patrick Henry College","10 Patrick Henry Circle Purcellville Virginia 20132","(540) 338-1776","www.phc.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Fringe","Yes","340 (all undergraduate)","12 to 1",340,"all",39.1386237,-77.6910112
"51","Radford University","801 East Main St. Radford Virginia 24142","(540) 831-5000","www.radford.edu/","4-year, Public","Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practiceDoctor's degree - other","Suburb: Small","Yes","10,695 (7,307 undergraduate)","14 to 1",695,"7",37.1398766,-80.5510635
"52","Randolph College","2500 Rivermont Ave Lynchburg Virginia 24503-1555","(434) 947-8000","www.randolphcollege.edu/","4-year, Private not-for-profit","Bachelor's degreePostbaccalaureate certificateMaster's degree","City: Small","Yes","566 (508 undergraduate)","8 to 1",566,"508",37.4382161,-79.1711433
"53","Randolph-Macon College","204 Henry St Ashland Virginia 23005-5505","(804) 752-7200","www.rmc.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","1,554 (all undergraduate)","11 to 1",554,"all",37.7608335,-77.4781292
"54","Regent University","1000 Regent University Dr Virginia Beach Virginia 23464","(757) 352-4127","www.regent.edu/","4-year, Private not-for-profit","Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice","City: Large","Yes","10,483 (4,533 undergraduate)","19 to 1",483,"4",36.8009596,-76.1937881
"55","Riverside College of Health Careers","316 Main Street Newport News Virginia 23601","(757) 240-2200","riverside.edu/","4-year, primarily associate's, Private not-for-profit","One but less than two years certificateAssociate's degreeBachelor's degree","City: Midsize","No","303 (all undergraduate)","11 to 1",303,"all",37.0349489,-76.4562635
"56","Roanoke College","221 College Lane Salem Virginia 24153-3794","(540) 375-2500","www.roanoke.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Midsize","Yes","1,920 (all undergraduate)","11 to 1",920,"all",37.2956975,-80.0558935
"57","Sentara College of Health Sciences","1441 Crossways Blvd Suite 105 Chesapeake Virginia 23320","(757) 388-2900","www.sentara.edu/","4-year, Private not-for-profit","Less than one year certificateAssociate's degreeBachelor's degreeMaster's degree","Suburb: Large","No","341 (275 undergraduate)","9 to 1",341,"275",36.7769628,-76.2432961
"58","Shenandoah University","1460 University Dr Winchester Virginia 22601-5195","(540) 665-4500","www.su.edu/","4-year, Private not-for-profit","Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice","City: Small","Yes","4,174 (2,267 undergraduate)","10 to 1",174,"2",39.1660132,-78.1583626
"59","South University-Richmond","2151 Old Brick Rd Glen Allen Virginia 23060","(804) 727-6800","www.southuniversity.edu/richmond#location=richmond, va","4-year, Private for-profit","Associate's degreeBachelor's degreeMaster's degreePost-master's certificate","Suburb: Large","No","412 (289 undergraduate)","9 to 1",412,"289",37.6470572,-77.5998433
"60","South University-Virginia Beach","301 Bendix Rd Ste 100 Virginia Beach Virginia 23452","(757) 493-6900","www.southuniversity.edu/virginia-beach#location=virginia beach, va","4-year, Private for-profit","Associate's degreeBachelor's degreeMaster's degreePost-master's certificate","City: Large","No","403 (325 undergraduate)","10 to 1",403,"325",36.8336023,-76.124284
"61","Southern Virginia University","1 University Hill Drive Buena Vista Virginia 24416","(540) 261-8400","www.svu.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1,140 (all undergraduate)","17 to 1",140,"all",37.7403616,-79.3501199
"62","Stratford University","2900 Eisenhower Avenue Alexandria Virginia 22314","(703) 539-6890","www.stratford.edu/","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree","City: Midsize","No","1,947 (1,682 undergraduate)","9 to 1",947,"1",38.8017825,-77.0830371
"63","Strayer University-Alexandria Campus","2730 Eisenhower Ave Alexandria Virginia 22314","(877) 445-7180","www.strayer.edu/campus-locations/virginia/alexandria","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree","City: Midsize","No","Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus","",NA,NA,38.8016278,-77.080145
"64","Strayer University-Chesapeake Campus","676 Independence Parkway Suite 300 Chesapeake Virginia 23320","(877) 445-7180","www.strayer.edu/campus-locations/virginia/chesapeake","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree","Suburb: Large","No","Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus","",NA,NA,36.7665174,-76.2585905
"65","Strayer University-Chesterfield Campus","15521 Midlothian Turnpike Suite 401 Midlothian Virginia 23113","(877) 445-7180","www.strayer.edu/campus-locations/virginia/chesterfield","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree","Rural: Fringe","No","Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus","",NA,NA,37.5113405,-77.6982568
"66","Strayer University-Fredericksburg Campus","150 Riverside Parkway Suite 100 Fredericksburg Virginia 22406","(877) 445-7180","www.strayer.edu/campus-locations/virginia/fredericksburg","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree","Rural: Fringe","No","Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus","",NA,NA,38.3363918,-77.4979844
"67","Strayer University-Henrico Campus","11501 Nuckols Road Glen Allen Virginia 23059","(877) 445-7180","www.strayer.edu/campus-locations/virginia/henrico","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree","Suburb: Large","No","Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus","",NA,NA,37.6859889,-77.5922981
"68","Strayer University-Loudoun Campus","45150 Russell Branch Pky Ste 200 Ashburn Virginia 20147","(877) 445-7180","www.strayer.edu/campus-locations/virginia/loudoun","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree","Suburb: Large","No","Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus","",NA,NA,39.0482386,-77.4373045
"69","Strayer University-Manassas Campus","9990 Battleview Pky Manassas Virginia 20109","(877) 445-7180","www.strayer.edu/campus-locations/virginia/manassas","4-year, Private for-profit","One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree","Suburb: Large","No","Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus","",NA,NA,38.8050683,-77.5091798
